age,time,start_time,end_time,setting,all drugs,all opioids,stimulants,cannabis,benzodiazepine
55+ years,24,12/01/2021,12/31/2021,ed,44.8548,1.2438,0.7107,0.3516,0.1172
0-15 years,25,01/01/2022,01/31/2022,ip,8.5156,0.8118,0.1988,1.0272,0.0497
0-15 years,25,01/01/2022,01/31/2022,ed,3.19,0.0419,0.0084,0.1802,0.0126
16-34 years,25,01/01/2022,01/31/2022,ip,25.8396,4.6399,2.815,5.2029,1.3201
16-34 years,25,01/01/2022,01/31/2022,ed,29.2832,1.5878,1.1168,1.8802,0.2802
35-54 years,25,01/01/2022,01/31/2022,ip,36.4787,6.1181,5.2167,3.2605,1.285
35-54 years,25,01/01/2022,01/31/2022,ed,43.4919,2.5349,2.1077,1.3576,0.4794
55+ years,25,01/01/2022,01/31/2022,ip,24.6579,2.3682,0.9699,0.4939,0.2975
55+ years,25,01/01/2022,01/31/2022,ed,45.0946,1.0787,0.7478,0.3228,0.1634
0-15 years,26,02/01/2022,02/28/2022,ip,8.4689,0.6895,0.2652,1.2199,0.0884
0-15 years,26,02/01/2022,02/28/2022,ed,3.6375,0.0242,0.0387,0.2276,0.0194
16-34 years,26,02/01/2022,02/28/2022,ip,26.6793,4.2401,3.0227,5.3946,1.0285
16-34 years,26,02/01/2022,02/28/2022,ed,28.2098,1.5965,1.2897,1.9465,0.2349
35-54 years,26,02/01/2022,02/28/2022,ip,37.2758,6.963,5.4559,3.1477,1.5643
35-54 years,26,02/01/2022,02/28/2022,ed,43.3129,2.9495,2.5808,1.4267,0.4114
55+ years,26,02/01/2022,02/28/2022,ip,25.8159,2.6632,1.1684,0.5222,0.3068
55+ years,26,02/01/2022,02/28/2022,ed,45.4497,1.4055,0.853,0.389,0.1414
0-15 years,27,03/01/2022,03/31/2022,ip,8.8389,0.697,0.2693,0.9187,0.1267
0-15 years,27,03/01/2022,03/31/2022,ed,3.8541,0.0265,0.0151,0.2116,0.0227
