sex,time,start_time,end_time,setting,all drugs,all opioids,stimulants,cannabis,benzodiazepine
female,28,04/01/2022,04/30/2022,ed,27.8605,0.8162,0.6068,0.8569,0.1027
male,28,04/01/2022,04/30/2022,ip,28.7649,3.6547,2.7922,2.3321,0.5942
male,28,04/01/2022,04/30/2022,ed,30.0789,1.5952,1.2783,1.0707,0.1879
female,29,05/01/2022,05/31/2022,ip,23.3525,2.5107,1.1492,1.3874,0.5021
female,29,05/01/2022,05/31/2022,ed,26.8552,0.8185,0.5885,0.854,0.1218
male,29,05/01/2022,05/31/2022,ip,28.3816,3.6891,2.7745,2.0206,0.6303
male,29,05/01/2022,05/31/2022,ed,29.2676,1.6013,1.4059,1.1352,0.1837
female,30,06/01/2022,06/30/2022,ip,23.1666,2.7919,1.3068,1.2798,0.5238
female,30,06/01/2022,06/30/2022,ed,27.8231,0.8553,0.6777,0.7592,0.1051
male,30,06/01/2022,06/30/2022,ip,28.7431,3.977,2.8,2.0442,0.7743
male,30,06/01/2022,06/30/2022,ed,29.24,1.5594,1.3948,1.0019,0.1543
female,31,07/01/2022,07/31/2022,ip,22.6159,2.5565,1.2093,1.2199,0.4349
female,31,07/01/2022,07/31/2022,ed,27.8305,0.9057,0.6038,0.8316,0.0759
male,31,07/01/2022,07/31/2022,ip,28.2379,3.7345,3.0622,1.9375,0.6418
male,31,07/01/2022,07/31/2022,ed,30.2995,1.7956,1.2725,1.2079,0.1353
female,32,08/01/2022,08/31/2022,ip,22.3284,2.4999,1.2964,1.2758,0.3977
female,32,08/01/2022,08/31/2022,ed,27.7106,0.9369,0.6437,0.8654,0.1055
male,32,08/01/2022,08/31/2022,ip,28.4185,3.4067,2.7646,2.0095,0.5767
male,32,08/01/2022,08/31/2022,ed,30.4945,1.7333,1.2954,1.2975,0.1723
female,33,09/01/2022,09/30/2022,ip,22.8674,2.3877,1.399,1.4042,0.4733
female,33,09/01/2022,09/30/2022,ed,27.8814,0.7939,0.5553,0.965,0.1092
male,33,09/01/2022,09/30/2022,ip,28.1373,3.855,2.8087,2.1486,0.6975
male,33,09/01/2022,09/30/2022,ed,30.6958,1.6216,1.3655,1.5078,0.1443
female,34,10/01/2022,10/31/2022,ip,22.2978,2.3089,1.2402,1.2503,0.4436
female,34,10/01/2022,10/31/2022,ed,26.3723,0.8472,0.5156,1.0694,0.1076
male,34,10/01/2022,10/31/2022,ip,27.8741,3.658,3.0263,2.0788,0.5743
male,34,10/01/2022,10/31/2022,ed,29.0335,1.5979,1.3396,1.5823,0.2019
female,35,11/01/2022,11/30/2022,ip,22.411,2.4158,1.1343,1.2577,0.4746
female,35,11/01/2022,11/30/2022,ed,24.4715,0.7825,0.508,0.8695,0.1023
male,35,11/01/2022,11/30/2022,ip,27.6633,3.9119,3.0603,2.1153,0.7362
male,35,11/01/2022,11/30/2022,ed,27.2217,1.5979,1.3027,1.4129,0.1338
female,36,12/01/2022,12/31/2022,ip,22.0657,2.421,1.2749,1.2081,0.4298
female,36,12/01/2022,12/31/2022,ed,26.0997,0.7839,0.5641,1.0092,0.0793
male,36,12/01/2022,12/31/2022,ip,27.2974,3.491,2.9101,1.8534,0.6086
male,36,12/01/2022,12/31/2022,ed,29.4987,1.6288,1.385,1.6001,0.1721
female,37,01/01/2023,01/31/2023,ip,22.5836,2.4638,1.4086,1.2754,0.4764
female,37,01/01/2023,01/31/2023,ed,26.7853,0.9726,0.6144,1.1729,0.1021
male,37,01/01/2023,01/31/2023,ip,28.6888,3.8705,2.9546,2.3046,0.6855
male,37,01/01/2023,01/31/2023,ed,30.9986,1.7718,1.5904,1.8278,0.1904
female,38,02/01/2023,02/28/2023,ip,22.818,2.7146,1.5456,1.3938,0.5002
female,38,02/01/2023,02/28/2023,ed,26.2223,0.829,0.6367,1.0461,0.0992
male,38,02/01/2023,02/28/2023,ip,29.0903,3.7476,3.2223,2.2357,0.5766
male,38,02/01/2023,02/28/2023,ed,29.9174,1.7601,1.4778,1.753,0.1708
female,39,03/01/2023,03/31/2023,ip,23.3164,2.5064,1.3805,1.4875,0.4992
female,39,03/01/2023,03/31/2023,ed,25.8165,0.8146,0.5449,0.9938,0.0887
male,39,03/01/2023,03/31/2023,ip,29.1555,3.896,3.2952,2.1288,0.5657
male,39,03/01/2023,03/31/2023,ed,29.7168,1.7337,1.434,1.6524,0.2012
female,40,04/01/2023,04/30/2023,ip,23.4196,2.4417,1.305,1.6413,0.4234
female,40,04/01/2023,04/30/2023,ed,27.1629,0.8152,0.5906,1.0565,0.1123
male,40,04/01/2023,04/30/2023,ip,30.4321,4.1196,3.5509,2.4482,0.8114
male,40,04/01/2023,04/30/2023,ed,32.0425,1.89,1.6465,1.6245,0.207
female,41,05/01/2023,05/27/2023,ip,24.7329,2.5502,1.4959,1.4674,0.4559
female,41,05/01/2023,05/27/2023,ed,26.6061,0.8223,0.5414,0.9491,0.1028
male,41,05/01/2023,05/27/2023,ip,31.0915,3.767,3.3076,2.2418,0.735
male,41,05/01/2023,05/27/2023,ed,30.2018,1.8571,1.4543,1.3939,0.1329
